acc,label,gc_pct,bias_t,nc_t,rule,tp_ret,fp_rem,n_post,tp_pct,pass
NC_008818.1,Hyperthermus,53.7,0.08,3.0,OR,84.8,14.4,469,77.2,False
NC_008818.1,Hyperthermus,53.7,0.08,3.0,AND,40.7,71.2,210,82.9,False
NC_008818.1,Hyperthermus,53.7,0.08,3.5,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.08,3.5,AND,43.3,67.2,226,81.9,False
NC_008818.1,Hyperthermus,53.7,0.08,4.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.08,4.0,AND,43.3,67.2,226,81.9,False
NC_008818.1,Hyperthermus,53.7,0.08,5.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.08,5.0,AND,43.3,67.2,226,81.9,False
NC_008818.1,Hyperthermus,53.7,0.1,2.5,OR,41.0,68.8,214,81.8,False
NC_008818.1,Hyperthermus,53.7,0.1,2.5,AND,11.9,94.4,58,87.9,False
NC_008818.1,Hyperthermus,53.7,0.1,3.0,OR,83.8,16.0,463,77.3,False
NC_008818.1,Hyperthermus,53.7,0.1,3.0,AND,31.6,78.4,162,83.3,False
NC_008818.1,Hyperthermus,53.7,0.1,3.5,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.1,3.5,AND,33.3,76.0,172,82.6,False
NC_008818.1,Hyperthermus,53.7,0.1,4.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.1,4.0,AND,33.3,76.0,172,82.6,False
NC_008818.1,Hyperthermus,53.7,0.1,5.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.1,5.0,AND,33.3,76.0,172,82.6,False
NC_008818.1,Hyperthermus,53.7,0.12,2.5,OR,35.4,74.4,183,82.5,False
NC_008818.1,Hyperthermus,53.7,0.12,2.5,AND,10.3,95.2,50,88.0,False
NC_008818.1,Hyperthermus,53.7,0.12,3.0,OR,82.9,17.6,457,77.5,False
NC_008818.1,Hyperthermus,53.7,0.12,3.0,AND,25.3,83.2,129,83.7,False
NC_008818.1,Hyperthermus,53.7,0.12,3.5,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.12,3.5,AND,26.0,82.4,133,83.5,False
NC_008818.1,Hyperthermus,53.7,0.12,4.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.12,4.0,AND,26.0,82.4,133,83.5,False
NC_008818.1,Hyperthermus,53.7,0.12,5.0,OR,100.0,0.0,552,77.4,False
NC_008818.1,Hyperthermus,53.7,0.12,5.0,AND,26.0,82.4,133,83.5,False
NC_008268.1,Rhodococcus,67.5,0.04,2.5,OR,97.3,27.5,452,64.4,False
NC_008268.1,Rhodococcus,67.5,0.04,2.5,AND,81.9,77.5,295,83.1,False
NC_008268.1,Rhodococcus,67.5,0.04,3.0,OR,99.3,0.9,517,57.4,False
NC_008268.1,Rhodococcus,67.5,0.04,3.0,AND,96.3,36.0,430,67.0,False
NC_008268.1,Rhodococcus,67.5,0.04,3.5,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.04,3.5,AND,97.3,27.9,451,64.5,False
NC_008268.1,Rhodococcus,67.5,0.04,4.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.04,4.0,AND,97.3,27.9,451,64.5,False
NC_008268.1,Rhodococcus,67.5,0.04,5.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.04,5.0,AND,97.3,27.9,451,64.5,False
NC_008268.1,Rhodococcus,67.5,0.06,2.5,OR,96.3,38.3,425,67.8,False
NC_008268.1,Rhodococcus,67.5,0.06,2.5,AND,81.9,77.9,294,83.3,False
NC_008268.1,Rhodococcus,67.5,0.06,3.0,OR,99.3,1.8,515,57.7,False
NC_008268.1,Rhodococcus,67.5,0.06,3.0,AND,95.3,46.4,404,70.5,True
NC_008268.1,Rhodococcus,67.5,0.06,3.5,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.06,3.5,AND,96.3,39.2,423,68.1,False
NC_008268.1,Rhodococcus,67.5,0.06,4.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.06,4.0,AND,96.3,39.2,423,68.1,False
NC_008268.1,Rhodococcus,67.5,0.06,5.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.06,5.0,AND,96.3,39.2,423,68.1,False
NC_008268.1,Rhodococcus,67.5,0.08,2.5,OR,95.0,48.2,399,71.2,True
NC_008268.1,Rhodococcus,67.5,0.08,2.5,AND,81.9,78.8,292,83.9,False
NC_008268.1,Rhodococcus,67.5,0.08,3.0,OR,99.0,2.7,512,57.8,False
NC_008268.1,Rhodococcus,67.5,0.08,3.0,AND,94.3,56.3,379,74.4,True
NC_008268.1,Rhodococcus,67.5,0.08,3.5,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.08,3.5,AND,95.0,50.0,395,71.9,True
NC_008268.1,Rhodococcus,67.5,0.08,4.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.08,4.0,AND,95.0,50.0,395,71.9,True
NC_008268.1,Rhodococcus,67.5,0.08,5.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.08,5.0,AND,95.0,50.0,395,71.9,True
NC_008268.1,Rhodococcus,67.5,0.1,2.5,OR,94.3,52.7,387,72.9,True
NC_008268.1,Rhodococcus,67.5,0.1,2.5,AND,81.9,78.8,292,83.9,False
NC_008268.1,Rhodococcus,67.5,0.1,3.0,OR,99.0,3.2,511,57.9,False
NC_008268.1,Rhodococcus,67.5,0.1,3.0,AND,93.6,60.4,368,76.1,True
NC_008268.1,Rhodococcus,67.5,0.1,3.5,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.1,3.5,AND,94.3,54.5,383,73.6,True
NC_008268.1,Rhodococcus,67.5,0.1,4.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.1,4.0,AND,94.3,54.5,383,73.6,True
NC_008268.1,Rhodococcus,67.5,0.1,5.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.1,5.0,AND,94.3,54.5,383,73.6,True
NC_008268.1,Rhodococcus,67.5,0.12,2.5,OR,94.3,55.4,381,74.0,True
NC_008268.1,Rhodococcus,67.5,0.12,2.5,AND,81.9,78.8,292,83.9,False
NC_008268.1,Rhodococcus,67.5,0.12,3.0,OR,99.0,4.1,509,58.2,False
NC_008268.1,Rhodococcus,67.5,0.12,3.0,AND,93.6,62.2,364,76.9,True
NC_008268.1,Rhodococcus,67.5,0.12,3.5,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.12,3.5,AND,94.3,57.2,377,74.8,True
NC_008268.1,Rhodococcus,67.5,0.12,4.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.12,4.0,AND,94.3,57.2,377,74.8,True
NC_008268.1,Rhodococcus,67.5,0.12,5.0,OR,100.0,0.0,521,57.4,False
NC_008268.1,Rhodococcus,67.5,0.12,5.0,AND,94.3,57.2,377,74.8,True
NC_003155.5,S. avermitilis,70.7,0.04,2.5,OR,98.3,23.7,422,54.3,False
NC_003155.5,S. avermitilis,70.7,0.04,2.5,AND,90.6,66.0,297,71.0,False
NC_003155.5,S. avermitilis,70.7,0.04,3.0,OR,100.0,0.4,485,48.0,False
NC_003155.5,S. avermitilis,70.7,0.04,3.0,AND,97.4,34.8,392,57.9,False
NC_003155.5,S. avermitilis,70.7,0.04,3.5,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.04,3.5,AND,97.9,29.2,407,56.0,False
NC_003155.5,S. avermitilis,70.7,0.04,4.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.04,4.0,AND,97.9,29.2,407,56.0,False
NC_003155.5,S. avermitilis,70.7,0.04,5.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.04,5.0,AND,97.9,29.2,407,56.0,False
NC_003155.5,S. avermitilis,70.7,0.06,2.5,OR,96.6,31.6,398,56.5,False
NC_003155.5,S. avermitilis,70.7,0.06,2.5,AND,90.6,68.4,291,72.5,False
NC_003155.5,S. avermitilis,70.7,0.06,3.0,OR,100.0,0.4,485,48.0,False
NC_003155.5,S. avermitilis,70.7,0.06,3.0,AND,95.7,45.1,362,61.6,True
NC_003155.5,S. avermitilis,70.7,0.06,3.5,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.06,3.5,AND,96.1,39.5,377,59.4,False
NC_003155.5,S. avermitilis,70.7,0.06,4.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.06,4.0,AND,96.1,39.5,377,59.4,False
NC_003155.5,S. avermitilis,70.7,0.06,5.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.06,5.0,AND,96.1,39.5,377,59.4,False
NC_003155.5,S. avermitilis,70.7,0.08,2.5,OR,94.4,39.5,373,59.0,False
NC_003155.5,S. avermitilis,70.7,0.08,2.5,AND,90.6,71.1,284,74.3,False
NC_003155.5,S. avermitilis,70.7,0.08,3.0,OR,99.6,0.4,484,47.9,False
NC_003155.5,S. avermitilis,70.7,0.08,3.0,AND,94.0,55.7,331,66.2,False
NC_003155.5,S. avermitilis,70.7,0.08,3.5,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.08,3.5,AND,94.0,50.2,345,63.5,False
NC_003155.5,S. avermitilis,70.7,0.08,4.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.08,4.0,AND,94.0,50.2,345,63.5,False
NC_003155.5,S. avermitilis,70.7,0.08,5.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.08,5.0,AND,94.0,50.2,345,63.5,False
NC_003155.5,S. avermitilis,70.7,0.1,2.5,OR,94.0,42.7,364,60.2,True
NC_003155.5,S. avermitilis,70.7,0.1,2.5,AND,89.7,73.5,276,75.7,False
NC_003155.5,S. avermitilis,70.7,0.1,3.0,OR,99.6,1.2,482,48.1,False
NC_003155.5,S. avermitilis,70.7,0.1,3.0,AND,92.7,60.5,316,68.4,False
NC_003155.5,S. avermitilis,70.7,0.1,3.5,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.1,3.5,AND,92.7,55.7,328,65.9,False
NC_003155.5,S. avermitilis,70.7,0.1,4.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.1,4.0,AND,92.7,55.7,328,65.9,False
NC_003155.5,S. avermitilis,70.7,0.1,5.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.1,5.0,AND,92.7,55.7,328,65.9,False
NC_003155.5,S. avermitilis,70.7,0.12,2.5,OR,93.1,47.4,350,62.0,True
NC_003155.5,S. avermitilis,70.7,0.12,2.5,AND,88.4,74.3,271,76.0,False
NC_003155.5,S. avermitilis,70.7,0.12,3.0,OR,99.6,1.6,481,48.2,False
NC_003155.5,S. avermitilis,70.7,0.12,3.0,AND,90.6,65.6,298,70.8,False
NC_003155.5,S. avermitilis,70.7,0.12,3.5,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.12,3.5,AND,90.6,61.3,309,68.3,False
NC_003155.5,S. avermitilis,70.7,0.12,4.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.12,4.0,AND,90.6,61.3,309,68.3,False
NC_003155.5,S. avermitilis,70.7,0.12,5.0,OR,100.0,0.0,486,47.9,False
NC_003155.5,S. avermitilis,70.7,0.12,5.0,AND,90.6,61.3,309,68.3,False
NC_003030.1,C. acetobutyl.,30.9,0.04,2.5,OR,99.3,2.6,1260,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.04,2.5,AND,63.0,51.8,784,93.0,False
NC_003030.1,C. acetobutyl.,30.9,0.04,3.0,OR,99.8,0.0,1269,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.04,3.0,AND,98.6,3.5,1251,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.04,3.5,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.04,3.5,AND,98.8,3.5,1253,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.04,4.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.04,4.0,AND,98.8,3.5,1253,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.04,5.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.04,5.0,AND,98.8,3.5,1253,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.06,2.5,OR,97.8,4.4,1241,91.2,False
NC_003030.1,C. acetobutyl.,30.9,0.06,2.5,AND,62.4,52.6,776,93.0,False
NC_003030.1,C. acetobutyl.,30.9,0.06,3.0,OR,99.7,0.0,1268,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.06,3.0,AND,96.6,6.1,1225,91.3,False
NC_003030.1,C. acetobutyl.,30.9,0.06,3.5,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.06,3.5,AND,96.7,6.1,1226,91.3,False
NC_003030.1,C. acetobutyl.,30.9,0.06,4.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.06,4.0,AND,96.7,6.1,1226,91.3,False
NC_003030.1,C. acetobutyl.,30.9,0.06,5.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.06,5.0,AND,96.7,6.1,1226,91.3,False
NC_003030.1,C. acetobutyl.,30.9,0.08,2.5,OR,94.4,11.4,1193,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.08,2.5,AND,60.9,53.5,758,93.0,False
NC_003030.1,C. acetobutyl.,30.9,0.08,3.0,OR,99.7,0.0,1267,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.08,3.0,AND,91.8,14.0,1160,91.6,False
NC_003030.1,C. acetobutyl.,30.9,0.08,3.5,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.08,3.5,AND,91.8,14.0,1160,91.6,False
NC_003030.1,C. acetobutyl.,30.9,0.08,4.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.08,4.0,AND,91.8,14.0,1160,91.6,False
NC_003030.1,C. acetobutyl.,30.9,0.08,5.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.08,5.0,AND,91.8,14.0,1160,91.6,False
NC_003030.1,C. acetobutyl.,30.9,0.1,2.5,OR,90.2,14.9,1141,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.1,2.5,AND,58.7,55.3,730,93.0,False
NC_003030.1,C. acetobutyl.,30.9,0.1,3.0,OR,99.7,0.0,1267,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.1,3.0,AND,85.4,19.3,1080,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.1,3.5,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.1,3.5,AND,85.4,19.3,1080,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.1,4.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.1,4.0,AND,85.4,19.3,1080,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.1,5.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.1,5.0,AND,85.4,19.3,1080,91.5,False
NC_003030.1,C. acetobutyl.,30.9,0.12,2.5,OR,84.5,28.1,1060,92.3,False
NC_003030.1,C. acetobutyl.,30.9,0.12,2.5,AND,54.5,57.9,679,92.9,False
NC_003030.1,C. acetobutyl.,30.9,0.12,3.0,OR,99.7,0.0,1267,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.12,3.0,AND,75.5,35.1,948,92.2,False
NC_003030.1,C. acetobutyl.,30.9,0.12,3.5,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.12,3.5,AND,75.5,35.1,948,92.2,False
