acc,label,phylum,f1,cls,n_overlap,grp_size,is_longest,length
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,19,8,0,425
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,107,54,0,2159
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,161,67,0,2987
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,65,33,0,1412
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,17,11,0,644
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,46,6,0,605
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,38,3,0,425
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,95,29,0,1442
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,22,7,0,512
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,107,34,0,1790
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,125,51,0,2219
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,27,0,944
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,78,29,0,1568
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,24,8,0,632
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,34,10,0,509
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,51,24,0,986
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,44,7,0,632
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,17,4,0,461
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,22,2,0,512
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,19,7,0,509
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,35,4,0,761
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,5,0,683
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,25,0,1478
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,7,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,109,64,0,1979
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,29,10,0,455
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,30,9,0,458
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,41,6,0,428
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,4,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,17,0,701
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,13,3,0,437
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,42,18,0,1016
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,38,23,0,668
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,43,20,0,851
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,18,4,0,461
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,28,7,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,16,1,0,497
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,54,25,0,1550
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,38,26,0,863
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,66,26,0,1025
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,32,9,0,602
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,23,0,707
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,41,14,0,920
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,11,6,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,43,12,0,902
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,22,7,0,503
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,28,15,0,815
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,33,18,0,794
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,16,10,0,521
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,30,10,0,506
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,217,95,0,4322
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,23,0,869
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,63,32,0,1325
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,24,9,0,455
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,100,40,0,1829
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,21,11,0,434
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,19,7,0,488
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,38,13,0,710
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,3,0,527
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,190,97,0,3620
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,73,33,0,1376
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,66,39,0,1199
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,68,37,0,1484
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,24,9,0,632
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,34,20,0,815
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,53,34,0,1289
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,251,145,0,5354
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,13,3,0,557
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,96,47,0,2042
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,18,0,902
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,76,53,0,1559
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,69,35,0,920
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,12,5,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,131,55,0,2372
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,199,110,0,3674
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,25,12,0,683
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,80,38,0,1613
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,37,12,0,659
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,67,26,0,1049
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,80,33,0,1265
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,32,11,0,572
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,151,67,0,2852
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,93,42,0,1616
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,23,16,0,485
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,133,70,0,2804
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,155,66,0,2609
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,51,32,0,1256
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,62,41,0,941
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,30,7,0,422
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,64,41,0,1157
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,121,61,0,1502
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,60,34,0,836
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,22,0,1106
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,85,31,0,1010
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,27,0,980
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,162,83,0,2660
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,28,11,0,503
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,65,21,0,935
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,65,30,0,980
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,40,13,0,653
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,72,44,0,1139
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,27,13,0,575
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,28,0,1085
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,83,44,0,1340
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,20,0,896
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,33,0,1181
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,19,0,818
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,57,22,0,854
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,79,33,0,1328
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,68,38,0,1283
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,18,0,743
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,25,0,785
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,21,6,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,100,38,0,1436
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,62,22,0,953
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,23,4,0,473
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,61,20,0,824
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,76,33,0,1214
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,32,9,0,503
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,21,6,0,458
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,35,13,0,698
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,15,13,0,521
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,23,9,0,428
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,43,25,0,812
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,97,41,0,1277
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,89,34,0,1421
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,39,9,0,650
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,87,27,0,1118
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,41,8,0,515
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,71,23,0,1211
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,28,10,0,446
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,12,4,0,413
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,57,16,0,896
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,25,4,0,419
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,88,26,0,1346
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,13,0,518
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,45,11,0,593
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,17,2,0,527
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,80,28,0,1424
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,30,11,0,869
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,38,14,0,698
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,65,41,0,1400
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,112,48,0,2201
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,34,12,0,791
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,91,29,0,1628
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,43,16,0,620
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,39,14,0,545
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,70,24,0,1109
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,55,18,0,1265
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,18,5,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,57,33,0,884
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,16,9,0,566
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,20,5,0,449
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,39,13,0,728
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,42,19,0,917
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,29,0,1550
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,37,24,0,839
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,25,15,0,749
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,37,20,0,689
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,15,6,0,533
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,252,112,0,4829
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,10,7,0,548
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,75,44,0,1403
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,201,119,0,4583
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,99,51,0,1931
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,20,8,0,632
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,84,45,0,2123
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,77,54,0,2336
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,74,37,0,1583
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,37,0,1358
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,53,31,0,971
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,97,53,0,2546
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,21,11,0,515
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,36,18,0,755
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,38,0,1643
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,31,15,0,524
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,64,49,0,1391
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,55,32,0,1127
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,35,16,0,512
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,88,42,0,1772
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,36,22,0,1184
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,54,39,0,1226
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,21,0,674
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,82,39,0,1415
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,75,32,0,1085
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,58,35,0,1130
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,41,20,0,623
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,41,22,0,749
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,52,16,0,779
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,9,0,545
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,33,0,1031
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,51,27,0,878
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,25,9,0,497
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,47,13,0,536
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,84,28,0,1478
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,42,9,0,590
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,101,48,0,1928
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,109,49,0,1904
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,101,50,0,1790
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,79,34,0,1142
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,42,8,0,593
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,141,70,0,2240
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,47,6,0,425
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,24,10,0,485
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,8,0,431
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,35,14,0,614
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,4,0,416
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,86,38,0,1676
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,20,13,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,32,10,0,719
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,165,83,0,3533
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,31,0,1127
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,50,26,0,854
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,84,40,0,1670
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,31,0,1094
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,34,16,0,530
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,22,10,0,479
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,68,40,0,1544
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,166,78,0,2762
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,154,84,0,3050
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,97,52,0,1763
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,70,29,0,1232
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,25,10,0,443
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,35,17,0,674
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,38,7,0,626
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,9,0,548
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,49,20,0,911
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,12,3,0,419
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,33,9,0,536
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,16,9,0,464
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,14,0,593
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,46,24,0,1088
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,42,6,0,662
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,15,7,0,452
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,13,4,0,422
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,46,7,0,926
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,44,17,0,1334
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,25,6,0,416
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,34,11,0,608
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,77,27,0,1598
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,48,21,0,962
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,36,19,0,581
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,138,63,0,2615
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,92,45,0,1646
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,51,25,0,1064
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,42,24,0,845
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,21,8,0,425
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,56,31,0,1148
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,59,33,0,1163
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,40,24,0,626
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,90,57,0,1457
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,52,1,1,989
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,28,12,0,575
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,25,13,0,767
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,30,15,0,743
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,13,0,749
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,520,180,0,6605
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,119,71,0,2363
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,47,18,0,770
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,25,9,0,581
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,52,32,0,1094
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,43,16,0,764
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,20,13,0,431
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,69,40,0,914
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,50,34,0,1304
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,26,14,0,695
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,72,36,0,1298
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,34,3,0,458
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,13,9,0,413
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,26,11,0,725
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,52,31,0,1007
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,27,12,0,428
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,110,51,0,1871
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,116,67,0,1745
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,61,27,0,983
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,32,21,0,737
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,59,1,1,1058
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,58,29,0,1013
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,66,32,0,1046
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,84,50,0,1529
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,45,15,0,725
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,116,64,0,2231
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,28,18,0,482
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,38,13,0,539
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,84,33,0,1343
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,57,22,0,716
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,82,34,0,1406
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,59,30,0,923
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,93,43,0,1826
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,47,22,0,869
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,42,29,0,1043
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,29,1,1,494
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,154,52,0,1832
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,54,16,0,926
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,34,1,1,488
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,25,9,0,464
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,63,19,0,743
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,137,61,0,1934
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,15,4,0,410
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,69,40,0,1496
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,29,5,0,437
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,31,6,0,650
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,37,6,0,452
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,36,17,0,827
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,31,15,0,755
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,20,8,0,470
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,18,10,0,449
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,23,11,0,674
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,23,6,0,419
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,21,5,0,434
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,45,1,1,824
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,53,25,0,992
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,107,36,0,1655
NC_002677.1,M. leprae,Actinobacteria,41.74,FP,44,18,0,743
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,87,25,0,1592
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,61,19,0,1304
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,25,8,0,587
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,69,31,0,1223
NC_002677.1,M. leprae,Actinobacteria,41.74,TP,77,27,0,1733
