acc,gc_pct,base_n,base_tpf,keep_pct,n,tp,fp,tpf,n_delta,tp_delta_pp,viable
NC_003143.1,47.6,1322,0.896,80,1834,1673,161,0.912,512,1.58,True
NC_003143.1,47.6,1322,0.896,90,2063,1859,204,0.901,741,0.47,True
NC_003116.1,51.8,839,0.8,10,115,112,3,0.974,-724,17.42,False
NC_003116.1,51.8,839,0.8,20,230,217,13,0.943,-609,14.37,False
NC_003116.1,51.8,839,0.8,30,345,318,27,0.922,-494,12.2,False
NC_003116.1,51.8,839,0.8,40,459,417,42,0.908,-380,10.87,False
NC_003116.1,51.8,839,0.8,50,574,512,62,0.892,-265,9.22,False
NC_003116.1,51.8,839,0.8,60,689,603,86,0.875,-150,7.54,True
NC_003116.1,51.8,839,0.8,70,803,672,131,0.837,-36,3.71,True
NC_003116.1,51.8,839,0.8,80,918,732,186,0.797,79,-0.24,False
NC_003116.1,51.8,839,0.8,90,1033,768,265,0.743,194,-5.63,False
NC_004757.1,50.7,1048,0.886,10,146,136,10,0.932,-902,4.51,False
NC_004757.1,50.7,1048,0.886,20,291,270,21,0.928,-757,4.14,False
NC_004757.1,50.7,1048,0.886,30,436,408,28,0.936,-612,4.93,False
NC_004757.1,50.7,1048,0.886,40,581,541,40,0.931,-467,4.47,False
NC_004757.1,50.7,1048,0.886,50,726,671,55,0.924,-322,3.78,False
NC_004757.1,50.7,1048,0.886,60,871,802,69,0.921,-177,3.43,True
NC_004757.1,50.7,1048,0.886,70,1016,927,89,0.912,-32,2.6,True
NC_004757.1,50.7,1048,0.886,80,1161,1035,126,0.891,113,0.5,True
NC_004757.1,50.7,1048,0.886,90,1306,1130,176,0.865,258,-2.12,False
NC_008497.1,46.2,1078,0.878,10,119,114,5,0.958,-959,8.04,False
NC_008497.1,46.2,1078,0.878,20,238,223,15,0.937,-840,5.94,False
NC_008497.1,46.2,1078,0.878,30,356,335,21,0.941,-722,6.35,False
NC_008497.1,46.2,1078,0.878,40,475,450,25,0.947,-603,6.98,False
NC_008497.1,46.2,1078,0.878,50,593,557,36,0.939,-485,6.17,False
NC_008497.1,46.2,1078,0.878,60,712,663,49,0.931,-366,5.36,False
NC_008497.1,46.2,1078,0.878,70,830,765,65,0.922,-248,4.41,False
NC_008497.1,46.2,1078,0.878,80,949,853,96,0.899,-129,2.13,True
NC_008497.1,46.2,1078,0.878,90,1067,945,122,0.886,-11,0.81,True
NC_004350.2,36.8,1103,0.911,10,111,108,3,0.973,-992,6.18,False
NC_004350.2,36.8,1103,0.911,20,221,213,8,0.964,-882,5.26,False
NC_004350.2,36.8,1103,0.911,30,331,316,15,0.955,-772,4.35,False
NC_004350.2,36.8,1103,0.911,40,441,423,18,0.959,-662,4.8,False
NC_004350.2,36.8,1103,0.911,50,553,534,19,0.966,-550,5.45,False
NC_004350.2,36.8,1103,0.911,60,662,638,24,0.964,-441,5.26,False
NC_004350.2,36.8,1103,0.911,70,772,741,31,0.96,-331,4.87,False
NC_004350.2,36.8,1103,0.911,80,882,840,42,0.952,-221,4.12,False
NC_004350.2,36.8,1103,0.911,90,992,935,57,0.943,-111,3.14,True
NC_006270.3,46.2,1146,0.873,10,214,210,4,0.981,-932,10.78,False
NC_006270.3,46.2,1146,0.873,20,428,415,13,0.97,-718,9.62,False
NC_006270.3,46.2,1146,0.873,30,641,605,36,0.944,-505,7.04,False
NC_006270.3,46.2,1146,0.873,40,855,799,56,0.935,-291,6.1,False
NC_006270.3,46.2,1146,0.873,50,1068,978,90,0.916,-78,4.23,True
NC_006270.3,46.2,1146,0.873,60,1282,1166,116,0.91,136,3.6,True
NC_006270.3,46.2,1146,0.873,70,1495,1337,158,0.894,349,2.08,True
NC_006270.3,46.2,1146,0.873,80,1709,1493,216,0.874,563,0.01,True
NC_006270.3,46.2,1146,0.873,90,1922,1643,279,0.855,776,-1.86,False
NC_006274.1,35.4,1299,0.895,10,294,285,9,0.969,-1005,7.49,False
NC_006274.1,35.4,1299,0.895,20,588,565,23,0.961,-711,6.64,False
NC_006274.1,35.4,1299,0.895,30,881,821,60,0.932,-418,3.74,False
NC_006274.1,35.4,1299,0.895,40,1175,1090,85,0.928,-124,3.31,True
NC_006274.1,35.4,1299,0.895,50,1468,1358,110,0.925,169,3.05,True
NC_006274.1,35.4,1299,0.895,60,1762,1626,136,0.923,463,2.83,True
NC_006274.1,35.4,1299,0.895,70,2055,1887,168,0.918,756,2.37,True
NC_006274.1,35.4,1299,0.895,80,2349,2145,204,0.913,1050,1.86,True
NC_006274.1,35.4,1299,0.895,90,2642,2394,248,0.906,1343,1.16,True
NC_003030.1,30.9,1271,0.91,10,214,212,2,0.991,-1057,8.03,False
NC_003030.1,30.9,1271,0.91,20,428,420,8,0.981,-843,7.1,False
NC_003030.1,30.9,1271,0.91,30,642,623,19,0.97,-629,6.01,False
NC_003030.1,30.9,1271,0.91,40,856,824,32,0.963,-415,5.23,False
NC_003030.1,30.9,1271,0.91,50,1070,1026,44,0.959,-201,4.86,True
NC_003030.1,30.9,1271,0.91,60,1283,1217,66,0.949,12,3.83,True
NC_003030.1,30.9,1271,0.91,70,1497,1410,87,0.942,226,3.16,True
NC_003030.1,30.9,1271,0.91,80,1711,1584,127,0.926,440,1.55,True
NC_003030.1,30.9,1271,0.91,90,1925,1749,176,0.909,654,-0.17,False
NC_003155.5,70.7,310,0.668,10,71,67,4,0.944,-239,27.59,False
NC_003155.5,70.7,310,0.668,20,141,135,6,0.957,-169,28.97,False
NC_003155.5,70.7,310,0.668,30,211,194,17,0.919,-99,25.17,False
NC_003155.5,70.7,310,0.668,40,281,253,28,0.9,-29,23.26,True
NC_003155.5,70.7,310,0.668,50,351,309,42,0.88,41,21.26,True
NC_003155.5,70.7,310,0.668,60,421,363,58,0.862,111,19.45,True
NC_003155.5,70.7,310,0.668,70,491,414,77,0.843,181,17.54,True
NC_003155.5,70.7,310,0.668,80,561,454,107,0.809,251,14.15,True
NC_003155.5,70.7,310,0.668,90,631,484,147,0.767,321,9.93,True
NC_003450.3,53.8,940,0.886,10,159,149,10,0.937,-781,5.09,False
NC_003450.3,53.8,940,0.886,20,318,293,25,0.921,-622,3.52,False
NC_003450.3,53.8,940,0.886,30,476,447,29,0.939,-464,5.29,False
NC_003450.3,53.8,940,0.886,40,635,590,45,0.929,-305,4.3,False
NC_003450.3,53.8,940,0.886,50,793,733,60,0.924,-147,3.82,True
NC_003450.3,53.8,940,0.886,60,952,875,77,0.919,12,3.29,True
NC_003450.3,53.8,940,0.886,70,1110,995,115,0.896,170,1.02,True
NC_003450.3,53.8,940,0.886,80,1269,1060,209,0.835,329,-5.09,False
NC_003450.3,53.8,940,0.886,90,1427,1086,341,0.761,487,-12.51,False
NC_002677.1,57.8,422,0.761,10,81,75,6,0.926,-341,16.53,False
NC_002677.1,57.8,422,0.761,20,162,147,15,0.907,-260,14.67,False
NC_002677.1,57.8,422,0.761,30,243,215,28,0.885,-179,12.41,False
NC_002677.1,57.8,422,0.761,40,323,282,41,0.873,-99,11.24,False
NC_002677.1,57.8,422,0.761,50,404,332,72,0.822,-18,6.11,True
NC_002677.1,57.8,422,0.761,60,485,358,127,0.738,63,-2.25,False
NC_002677.1,57.8,422,0.761,70,565,373,192,0.66,143,-10.05,False
NC_002677.1,57.8,422,0.761,80,646,386,260,0.598,224,-16.31,False
NC_002677.1,57.8,422,0.761,90,727,390,337,0.536,305,-22.42,False
NC_008268.1,67.5,372,0.753,10,115,106,9,0.922,-257,16.91,False
NC_008268.1,67.5,372,0.753,20,229,211,18,0.921,-143,16.87,False
NC_008268.1,67.5,372,0.753,30,343,306,37,0.892,-29,13.94,True
NC_008268.1,67.5,372,0.753,40,457,396,61,0.867,85,11.38,True
NC_008268.1,67.5,372,0.753,50,571,479,92,0.839,199,8.62,True
NC_008268.1,67.5,372,0.753,60,685,553,132,0.807,313,5.46,True
NC_008268.1,67.5,372,0.753,70,799,603,196,0.755,427,0.2,True
NC_008268.1,67.5,372,0.753,80,913,637,276,0.698,541,-5.5,False
NC_008268.1,67.5,372,0.753,90,1027,665,362,0.648,655,-10.52,False
NC_006958.1,53.8,936,0.888,10,156,149,7,0.955,-780,6.73,False
NC_006958.1,53.8,936,0.888,20,312,287,25,0.92,-624,3.21,False
NC_006958.1,53.8,936,0.888,30,467,433,34,0.927,-469,3.94,False
NC_006958.1,53.8,936,0.888,40,623,577,46,0.926,-313,3.83,False
NC_006958.1,53.8,936,0.888,50,779,721,58,0.926,-157,3.77,True
NC_006958.1,53.8,936,0.888,60,934,863,71,0.924,-2,3.62,True
NC_006958.1,53.8,936,0.888,70,1090,976,114,0.895,154,0.76,True
NC_006958.1,53.8,936,0.888,80,1245,1037,208,0.833,309,-5.49,False
NC_006958.1,53.8,936,0.888,90,1401,1064,337,0.759,465,-12.84,False
NC_008818.1,53.7,552,0.774,10,63,60,3,0.952,-489,17.88,False
NC_008818.1,53.7,552,0.774,20,126,118,8,0.937,-426,16.3,False
NC_008818.1,53.7,552,0.774,30,189,178,11,0.942,-363,16.82,False
NC_008818.1,53.7,552,0.774,40,252,234,18,0.929,-300,15.5,False
NC_008818.1,53.7,552,0.774,50,315,286,29,0.908,-237,13.44,False
NC_008818.1,53.7,552,0.774,60,378,333,45,0.881,-174,10.74,False
NC_008818.1,53.7,552,0.774,70,441,384,57,0.871,-111,9.72,False
NC_008818.1,53.7,552,0.774,80,504,429,75,0.851,-48,7.76,True
NC_008818.1,53.7,552,0.774,90,567,453,114,0.799,15,2.54,True
NC_015948.1,63.7,827,0.866,10,132,126,6,0.955,-695,8.88,False
NC_015948.1,63.7,827,0.866,20,264,252,12,0.955,-563,8.88,False
NC_015948.1,63.7,827,0.866,30,396,376,20,0.949,-431,8.37,False
NC_015948.1,63.7,827,0.866,40,528,498,30,0.943,-299,7.74,False
NC_015948.1,63.7,827,0.866,50,660,611,49,0.926,-167,6.0,False
NC_015948.1,63.7,827,0.866,60,792,722,70,0.912,-35,4.58,True
NC_015948.1,63.7,827,0.866,70,924,822,102,0.89,97,2.38,True
NC_015948.1,63.7,827,0.866,80,1056,906,150,0.858,229,-0.78,False
NC_015948.1,63.7,827,0.866,90,1188,962,226,0.81,361,-5.6,False
NC_014408.1,48.6,816,0.863,10,92,92,0,1.0,-724,13.73,False
NC_014408.1,48.6,816,0.863,20,184,180,4,0.978,-632,11.55,False
NC_014408.1,48.6,816,0.863,30,276,264,12,0.957,-540,9.38,False
NC_014408.1,48.6,816,0.863,40,367,344,23,0.937,-449,7.46,False
NC_014408.1,48.6,816,0.863,50,459,429,30,0.935,-357,7.19,False
NC_014408.1,48.6,816,0.863,60,551,509,42,0.924,-265,6.1,False
NC_014408.1,48.6,816,0.863,70,642,589,53,0.917,-174,5.47,False
NC_014408.1,48.6,816,0.863,80,734,669,65,0.911,-82,4.87,True
NC_014408.1,48.6,816,0.863,90,826,721,105,0.873,10,1.01,True
NC_019977.1,42.6,1088,0.902,10,135,126,9,0.933,-953,3.17,False
NC_019977.1,42.6,1088,0.902,20,269,251,18,0.933,-819,3.14,False
NC_019977.1,42.6,1088,0.902,30,403,376,27,0.933,-685,3.13,False
NC_019977.1,42.6,1088,0.902,40,537,504,33,0.939,-551,3.69,False
NC_019977.1,42.6,1088,0.902,50,671,628,43,0.936,-417,3.43,False
NC_019977.1,42.6,1088,0.902,60,805,749,56,0.93,-283,2.88,False
NC_019977.1,42.6,1088,0.902,70,939,870,69,0.927,-149,2.49,True
NC_019977.1,42.6,1088,0.902,80,1073,984,89,0.917,-15,1.54,True
NC_019977.1,42.6,1088,0.902,90,1207,1091,116,0.904,119,0.22,True
NC_007644.1,55.8,820,0.86,10,93,90,3,0.968,-727,10.8,False
NC_007644.1,55.8,820,0.86,20,185,180,5,0.973,-635,11.32,False
NC_007644.1,55.8,820,0.86,30,277,262,15,0.946,-543,8.61,False
NC_007644.1,55.8,820,0.86,40,369,343,26,0.93,-451,6.98,False
NC_007644.1,55.8,820,0.86,50,462,424,38,0.918,-358,5.8,False
NC_007644.1,55.8,820,0.86,60,554,502,52,0.906,-266,4.64,False
NC_007644.1,55.8,820,0.86,70,646,578,68,0.895,-174,3.5,False
NC_007644.1,55.8,820,0.86,80,738,650,88,0.881,-82,2.1,True
NC_007644.1,55.8,820,0.86,90,830,711,119,0.857,10,-0.31,False
