type,acc,name,genome_cat,correct_rank,gap_01,gap_to_correct,prob_keep,clf_flipped,d_rbs,d_anti_sd,d_codon,d_imm,d_length,d_f4,d_baseline,gc_pct,d_len_zscore
B2,NC_002677.1,M.leprae,problem,1,0.4487568081836173,0.4487568081836173,0.7785817655571635,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.002918905577256936,0.002918905577256936,0.04488330341113106,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.27809687256046445,0.27809687256046445,0.2863157894736842,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.26416046474618327,0.8434964313019186,1.0,False,0.2786126661383965,0.0,-0.0046844772210032914,0.003231063833398551,-3.0,0.0,0.8434964313019186,0.5779674640773538,-0.03796306432395902
B2,NC_002677.1,M.leprae,problem,1,0.3422677780725216,0.3422677780725216,0.9991835994194485,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.4285368713063331,0.4285368713063331,0.575609756097561,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.09433597364650836,0.16797734344804738,0.2302568981921979,False,0.895540712587704,0.11538461538461542,-0.08845946875253863,-0.16310624048375555,51.0,0.5714285714285714,0.16797734344804738,0.5779674640773538,0.6453720935073068
B2,NC_002677.1,M.leprae,problem,1,0.05596423621278035,0.05596423621278035,0.5164319248826291,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.45417986114339115,0.45417986114339115,0.9991835994194485,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.4018851175446372,0.4018851175446372,0.9972051425377306,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2337513647235987,0.2337513647235987,0.9808187804179788,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.02559297778962133,0.02559297778962133,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.17596247557715117,0.17596247557715117,0.8111111111111111,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.018351930992807297,0.018351930992807297,0.054673721340388004,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10766600709420615,0.10766600709420615,0.11922141119221409,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10871958886641586,0.10871958886641586,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.18237187146002398,0.18237187146002398,0.04488330341113106,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.5194302339231074,0.5194302339231074,0.9913700107874865,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.36661076120937697,0.36661076120937697,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.5643816815009084,0.5643816815009084,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.04200080260468475,0.04200080260468475,0.002770083102493075,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06492485285276928,0.06492485285276928,0.38977072310405636,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.19596651263417186,0.19596651263417186,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.5141902141964492,0.5141902141964492,0.9808187804179788,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.4893867757127275,0.5330955611085813,0.9991835994194485,False,-0.03980180944834266,0.11538461538461542,0.007894721994258669,0.0155210372022061,15.0,0.0,0.5330955611085813,0.5779674640773538,0.18981532161979509
B2,NC_002677.1,M.leprae,problem,1,0.18330364239884034,0.18330364239884034,0.8735119047619048,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.5824050980654496,0.5824050980654496,0.9865591397849462,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2522849964098697,0.2522849964098697,0.031746031746031744,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.7469373787351579,0.7469373787351579,1.0,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.29013594385296404,0.29013594385296404,0.8507936507936508,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.41415239692704553,0.4381892046504987,0.8498659517426272,False,0.6209082273941413,0.11538461538461536,-0.31930414507586224,-0.3619583703115785,84.0,0.0,0.4381892046504987,0.5779674640773538,1.0629658010708571
B2,NC_002677.1,M.leprae,problem,1,0.5083693812215486,0.5083693812215486,0.9991835994194485,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.010396138060944082,0.010396138060944082,0.7513297872340425,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2496705410167941,0.2496705410167941,0.9972051425377306,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.17079621472660733,0.3650112049945271,0.3169642857142857,False,0.6806109415666549,-0.11538461538461542,0.10180333212664161,0.007613085872234748,-189.0,0.0,0.3650112049945271,0.5779674640773538,-2.391673052409427
B2,NC_002677.1,M.leprae,problem,1,0.6759480715804815,0.6759480715804815,0.4566929133858268,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.5201296800442581,0.5201296800442581,0.955984555984556,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.8001865448957357,0.8001865448957357,0.9991835994194485,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.05046349046854104,0.19749782450227116,0.09019607843137255,True,-0.09950452362085627,-0.1538461538461538,0.04494500770390131,0.04403397575926893,-66.0,0.0,0.19749782450227116,0.5779674640773538,-0.8351874151271019
B4r2,NC_002677.1,M.leprae,problem,2,0.2318570007390548,0.4049363957986287,0.4583333333333333,False,0.5970271417251359,-0.07692307692307687,-0.08287623719831905,-0.16443579056875995,69.0,0.0,0.4049363957986287,0.5779674640773538,0.873150479451061
B4r2,NC_002677.1,M.leprae,problem,2,0.2678956771757477,0.44221779241597403,0.8507936507936508,False,0.28998461169506573,-0.038461538461538436,0.08487877898071483,0.11070969924220697,-75.0,-0.5714285714285714,0.44221779241597403,0.5779674640773538,-0.949076608098979
B2,NC_002677.1,M.leprae,problem,1,0.14241016237089532,0.14241016237089532,0.002785515320334262,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.012856999285702386,0.012856999285702386,0.49443207126948785,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.6819194944236271,0.6819194944236271,0.9997844827586206,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1460321812133003,0.1460321812133003,0.6141552511415522,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.4755582859644818,0.6991350972553825,0.9913700107874865,False,1.0149461409327312,0.1538461538461538,0.01288208030877347,0.022203680749494525,39.0,0.0,0.6991350972553825,0.5779674640773538,0.493519836211469
B2,NC_002677.1,M.leprae,problem,1,0.4307122041940019,0.4307122041940019,0.9628787878787879,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.4776292533792805,0.6554403443858909,1.0,False,0.2985135708625679,-0.11538461538461536,-0.06526576567365416,0.0002461384857129767,39.0,0.7142857142857143,0.6554403443858909,0.5779674640773538,0.493519836211469
B2,NC_002677.1,M.leprae,problem,1,0.2127233540013087,0.2127233540013087,0.2993630573248407,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.2650852746875909,0.47533023446132816,0.9991835994194485,False,-0.3070425300300702,0.038461538461538436,-0.06036234992055567,-0.026580433338013965,78.0,-0.7142857142857143,0.47533023446132816,0.5779674640773538,0.9870396724229389
B2,NC_002677.1,M.leprae,problem,1,0.1877921208944482,0.1877921208944482,0.9808187804179788,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1603452548167752,0.1603452548167752,0.774390243902439,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.000749508782400099,0.09064182355237982,0.3169642857142857,False,-0.7562343795185056,0.1538461538461538,-0.10223909287243149,-0.08190081415702599,108.0,-0.7142857142857143,0.09064182355237982,0.5779674640773538,1.3666703156625304
B2,NC_002677.1,M.leprae,problem,1,0.11907908075938067,0.11907908075938067,0.9972051425377306,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.08441086663197517,0.08441086663197517,0.5164319248826291,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.15888868351532537,0.15984088375105543,0.17354497354497356,True,-0.6567298558976495,-0.07692307692307687,-0.028333542564724423,-0.04990590736956768,42.0,-0.7142857142857143,0.15984088375105543,0.5779674640773538,0.531482900535428
B2,NC_002677.1,M.leprae,problem,1,0.2525477644613314,0.2525477644613314,0.452755905511811,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3263024713199094,0.3263024713199094,0.7785817655571635,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.244293911801293,0.3043638113388454,0.49443207126948785,False,0.5799692233901317,0.15384615384615385,0.11969507958721493,0.011949658393065943,-132.0,0.0,0.3043638113388454,0.5779674640773538,-1.6703748302542039
B2,NC_002677.1,M.leprae,problem,1,0.7599488418069704,0.7599488418069704,0.7513297872340425,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.46410369797605,0.46410369797605,0.9147982062780269,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.4889978950843066,0.8407727443593629,0.9991835994194485,False,-0.05458533867201221,-0.11538461538461536,-0.2043472205365504,0.06865725147663848,195.0,0.0,0.8407727443593629,0.5779674640773538,2.4675991810573468
B2,NC_002677.1,M.leprae,problem,1,0.12425735382478109,0.12425735382478109,0.7489878542510121,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2935186504286804,0.2935186504286804,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.38211203820572237,0.38211203820572237,0.9100467289719626,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.09453276878509875,0.09453276878509875,0.12588652482269502,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.07493337152576629,0.07493337152576629,0.2993630573248407,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.0650390006313728,0.0650390006313728,0.07407407407407407,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.341040700881436,0.341040700881436,0.452755905511811,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06945935992996866,0.06945935992996866,0.06521739130434782,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.021828679247665406,0.021828679247665406,0.2302568981921979,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.3330514226207484,0.3330514226207484,0.9808187804179788,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.10086887945021772,0.10086887945021772,0.01126126126126126,True,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.20329573610128904,0.21130146520053117,0.49443207126948785,False,1.4965480352576743,0.3076923076923077,0.22643265739382756,0.08468971724075436,-75.0,0.0,0.21130146520053117,0.5779674640773538,-0.9490766080989796
B2,NC_002677.1,M.leprae,problem,1,0.07068335941849924,0.07068335941849924,0.38977072310405636,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.04304097332607171,0.04304097332607171,0.054673721340388004,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.131318641474504,0.131318641474504,0.575609756097561,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.2123608050413779,0.2123608050413779,0.452755905511811,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.41709891922209863,0.5350641652746049,0.9389140271493213,False,0.8955407125877038,0.038461538461538436,0.24152915199025016,0.1573923123696882,-33.0,0.0,0.5350641652746049,0.5779674640773538,-0.417593707563551
B2,NC_002677.1,M.leprae,problem,1,0.024449325750030226,0.024449325750030226,0.036065573770491806,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.06020621883331145,0.06020621883331145,0.7785817655571635,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.1559050871347729,0.1559050871347729,0.3169642857142857,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.1601059577957038,0.6233437312008974,0.17354497354497356,True,1.3930633306919837,0.0,0.001207994241849697,0.0019518280218207007,-51.0,0.0,0.6233437312008974,0.5779674640773538,-0.6453720935073051
B2,NC_002677.1,M.leprae,problem,1,0.16586727304999727,0.16586727304999727,0.3169642857142857,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.08946478221145782,0.08946478221145782,0.2993630573248407,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.19515346789995114,0.19515346789995114,0.8231827111984283,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.15906620790792303,0.7281533553649346,0.955984555984556,False,0.6686703987321524,0.03846153846153849,-0.010730215245252639,0.021241689494330918,-3.0,0.0,0.7281533553649346,0.5779674640773538,-0.03796306432395902
B2,NC_002677.1,M.leprae,problem,1,0.09450915352086042,0.09450915352086042,0.7210216110019646,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.09560587018963318,0.09560587018963318,0.9628787878787879,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.09523793577807282,0.09523793577807282,0.9686411149825784,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.0872074098265756,0.0872074098265756,0.11922141119221409,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.12506953178287894,0.12506953178287894,0.8111111111111111,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.11467172606651133,0.11467172606651133,0.2993630573248407,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.12671168718882697,0.46864820060906354,0.8832807570977917,False,0.28145565252756366,0.07692307692307687,0.03477568446443202,-0.014427405149804118,-162.0,0.5714285714285714,0.46864820060906354,0.5779674640773538,-2.0500054734937976
B2,NC_002677.1,M.leprae,problem,1,0.6218358441583689,0.6218358441583689,0.9861248761149654,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.018560750239302592,0.018560750239302592,0.12588652482269502,True,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.26137431659438093,0.46597965637729644,0.3169642857142857,False,1.0945497598294158,-0.03846153846153849,0.09815018869164027,0.024005551764850308,-69.0,0.0,0.46597965637729644,0.5779674640773538,-0.8731504794510614
B2,NC_002677.1,M.leprae,problem,1,0.056026061823779116,0.056026061823779116,0.7513297872340425,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.13973341630460112,0.13973341630460112,0.5223880597014925,False,,,,,,,,,
B4r2,NC_002677.1,M.leprae,problem,2,0.2275293639393503,0.3033722161212502,0.94921875,False,0.0,-0.07692307692307693,0.015434067365947435,0.040283368086564186,-18.0,0.0,0.3033722161212502,0.5779674640773538,-0.2277783859437541
B2,NC_002677.1,M.leprae,problem,1,0.04152519222720841,0.04152519222720841,0.2863157894736842,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.01228358063802304,0.01228358063802304,0.0051635111876075735,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.18213632714088313,0.18213632714088313,0.9389140271493213,False,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.00813076013477243,0.00813076013477243,0.0051635111876075735,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.13715226018157622,0.13715226018157622,0.01126126126126126,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.19366513668316898,0.19366513668316898,0.036065573770491806,True,,,,,,,,,
B2,NC_002677.1,M.leprae,problem,1,0.12273956513324613,0.12273956513324613,0.30113636363636365,False,,,,,,,,,
