acc,label,phylum,f1,genome_gc,cls,rbs_score,rbs_spacing,length,is_atg,is_forward,gc1,gc2,gc3,gc12,abs_bias,gc_orf,nc,upstream_stops,upstream_gc
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,879.0,1,1,0.621160409556314,0.4880546075085324,0.6757679180887372,0.5546075085324232,0.12116040955631391,0.5949943117178612,2.8176309130014254,3,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,603.0,1,1,0.7114427860696517,0.4975124378109453,0.6915422885572139,0.6044776119402985,0.08706467661691542,0.6334991708126037,2.7517604912435587,6,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,12.228571428571428,0.0,453.0,1,1,0.5827814569536424,0.5827814569536424,0.6225165562913907,0.5827814569536424,0.039735099337748325,0.5960264900662252,2.7814105328785788,4,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.3,0.0,1878.0,1,1,0.6805111821086262,0.4281150159744409,0.7476038338658147,0.5543130990415335,0.19329073482428127,0.6187433439829606,2.6911783911589517,4,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.9,0.0,1179.0,1,1,0.6819338422391857,0.5318066157760815,0.6615776081424937,0.6068702290076335,0.054707379134860123,0.6251060220525869,2.8447226028219674,3,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.014285714285714,0.0,1590.0,1,1,0.6566037735849056,0.469811320754717,0.7490566037735849,0.5632075471698113,0.1858490566037736,0.6251572327044025,2.6575153825268707,3,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,12.3,0.0,444.0,1,1,0.40540540540540543,0.5945945945945946,0.7162162162162162,0.5,0.21621621621621623,0.5720720720720721,2.701888815556132,2,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.05,0.0,804.0,1,1,0.6119402985074627,0.4626865671641791,0.6044776119402985,0.5373134328358209,0.06716417910447758,0.5597014925373134,3.103432477398341,5,0.32
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,7.728571428571429,0.0,477.0,1,1,0.5283018867924528,0.4716981132075472,0.6792452830188679,0.5,0.17924528301886788,0.559748427672956,2.6844845182467116,5,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,8.133333333333333,0.0,645.0,1,1,0.6558139534883721,0.4558139534883721,0.6930232558139535,0.5558139534883721,0.13720930232558137,0.6015503875968993,2.635449699631166,3,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.05,0.0,756.0,1,1,0.6785714285714286,0.43253968253968256,0.7103174603174603,0.5555555555555556,0.15476190476190477,0.6071428571428571,2.5123853644554766,7,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,1293.0,1,1,0.7076566125290024,0.48259860788863107,0.6937354988399071,0.5951276102088168,0.09860788863109038,0.6279969064191802,2.894822061804122,1,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,471.0,1,1,0.6305732484076433,0.4585987261146497,0.6178343949044586,0.5445859872611465,0.07324840764331209,0.5690021231422505,2.7256174851964996,1,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.8,0.0,1686.0,1,1,0.6548042704626335,0.4430604982206406,0.6850533807829181,0.548932384341637,0.13612099644128106,0.594306049822064,2.8841930467989765,2,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,504.0,1,1,0.5892857142857143,0.5,0.6845238095238095,0.5446428571428572,0.13988095238095233,0.5912698412698413,2.6651442116701825,3,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.4,0.0,537.0,1,1,0.6815642458100558,0.3687150837988827,0.6759776536312849,0.5251396648044693,0.15083798882681565,0.5754189944134078,2.9202882416827722,2,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.3,0.0,1089.0,1,1,0.6556473829201102,0.44077134986225897,0.7134986225895317,0.5482093663911846,0.1652892561983471,0.6033057851239669,2.746235169225634,5,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,15.8,0.0,1407.0,1,1,0.6609808102345416,0.47974413646055436,0.6652452025586354,0.570362473347548,0.09488272921108742,0.6019900497512438,2.9367816453130327,2,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.4,0.0,483.0,1,1,0.7080745341614907,0.453416149068323,0.7142857142857143,0.5807453416149069,0.13354037267080743,0.6252587991718427,2.4147591322964415,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.0,0.0,456.0,1,1,0.6513157894736842,0.618421052631579,0.5986842105263158,0.6348684210526316,0.03618421052631582,0.6228070175438597,2.634143453524756,3,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,420.0,1,1,0.6285714285714286,0.45,0.6428571428571429,0.5392857142857143,0.10357142857142865,0.5738095238095238,2.422292372260152,10,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.466666666666667,0.0,882.0,1,1,0.5612244897959183,0.5578231292517006,0.6666666666666666,0.5595238095238095,0.1071428571428571,0.5952380952380952,2.81584246904868,7,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.9,0.0,432.0,1,1,0.5694444444444444,0.4166666666666667,0.5486111111111112,0.4930555555555556,0.05555555555555558,0.5115740740740741,3.2791824464317236,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.8,0.0,1260.0,1,1,0.65,0.44761904761904764,0.6642857142857143,0.5488095238095239,0.1154761904761904,0.5873015873015873,2.9727417807098524,3,0.76
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.0,0.0,792.0,1,1,0.6477272727272727,0.4696969696969697,0.6439393939393939,0.5587121212121212,0.08522727272727271,0.5871212121212122,3.039850188390123,2,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,1179.0,1,1,0.6055979643765903,0.39185750636132316,0.6335877862595419,0.49872773536895676,0.13486005089058517,0.5436810856658185,3.1140700591534345,7,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.8,0.0,510.0,1,1,0.7294117647058823,0.47058823529411764,0.5588235294117647,0.6,0.04117647058823526,0.5862745098039216,2.6695068640409856,3,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.8,0.0,2622.0,1,1,0.7093821510297483,0.477116704805492,0.6086956521739131,0.5932494279176201,0.01544622425629294,0.5983981693363845,3.1326534365771908,6,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.05,0.0,756.0,1,1,0.5277777777777778,0.3968253968253968,0.753968253968254,0.4623015873015873,0.29166666666666663,0.5595238095238095,2.65881755827404,2,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.466666666666667,0.0,1458.0,1,1,0.6193415637860082,0.4218106995884774,0.7283950617283951,0.5205761316872428,0.20781893004115226,0.5898491083676269,2.652640754794255,3,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,12.3,0.0,483.0,1,1,0.6335403726708074,0.4720496894409938,0.5341614906832298,0.5527950310559007,0.018633540372670843,0.546583850931677,2.8997312971686506,3,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,1311.0,1,1,0.6521739130434783,0.5080091533180778,0.7482837528604119,0.5800915331807781,0.16819221967963383,0.6361556064073226,2.740473356068487,2,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.3,0.0,1158.0,1,1,0.7253886010362695,0.5259067357512953,0.7331606217616581,0.6256476683937824,0.1075129533678757,0.6614853195164075,2.5726780318946734,1,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,1476.0,1,1,0.6605691056910569,0.49796747967479676,0.6524390243902439,0.5792682926829268,0.07317073170731714,0.6036585365853658,2.9341988408202777,4,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.55,0.0,819.0,1,1,0.6886446886446886,0.4945054945054945,0.6336996336996337,0.5915750915750916,0.042124542124542086,0.6056166056166056,2.7678960100552343,4,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.466666666666667,0.0,618.0,1,1,0.6893203883495146,0.42718446601941745,0.6699029126213593,0.558252427184466,0.11165048543689327,0.5954692556634305,2.6949029462357115,4,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.3,0.0,1323.0,1,1,0.673469387755102,0.47165532879818595,0.691609977324263,0.5725623582766439,0.11904761904761907,0.6122448979591837,2.7907715080996094,1,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,3621.0,1,1,0.6462303231151616,0.4117647058823529,0.7009113504556752,0.5289975144987573,0.1719138359569179,0.5863021264843966,2.989127698537267,4,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.05,0.0,996.0,1,1,0.677710843373494,0.5120481927710844,0.6987951807228916,0.5948795180722892,0.10391566265060237,0.6295180722891566,2.775580510700959,1,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,14.3,0.0,819.0,1,1,0.6263736263736264,0.4981684981684982,0.6556776556776557,0.5622710622710623,0.09340659340659341,0.5934065934065934,2.4958151352536078,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.3,0.0,1086.0,1,1,0.6961325966850829,0.5027624309392266,0.643646408839779,0.5994475138121547,0.04419889502762431,0.6141804788213628,3.180299104020772,3,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.514285714285714,0.0,1446.0,1,1,0.6556016597510373,0.3630705394190871,0.7116182572614108,0.5093360995850622,0.2022821576763486,0.5767634854771784,2.656713047944237,4,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.728571428571428,0.0,426.0,1,1,0.5774647887323944,0.528169014084507,0.528169014084507,0.5528169014084507,0.02464788732394374,0.5446009389671361,2.9691972616349873,1,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,8.0,0.0,2160.0,1,1,0.6583333333333333,0.4111111111111111,0.7375,0.5347222222222222,0.20277777777777783,0.6023148148148149,2.787439025606939,6,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,2988.0,1,1,0.641566265060241,0.4387550200803213,0.7238955823293173,0.5401606425702812,0.1837349397590361,0.6014056224899599,2.871108769189524,6,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.8,0.0,1413.0,1,1,0.6963906581740976,0.4819532908704883,0.70276008492569,0.589171974522293,0.113588110403397,0.627034677990092,2.7499635834115432,4,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.728571428571428,0.0,645.0,1,1,0.4930232558139535,0.5162790697674419,0.6046511627906976,0.5046511627906977,0.09999999999999998,0.537984496124031,3.111430828870819,4,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,12.133333333333333,0.0,606.0,1,1,0.5841584158415841,0.5891089108910891,0.599009900990099,0.5866336633663366,0.012376237623762387,0.5907590759075908,2.9556552405948624,3,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,-5.0,0.0,426.0,1,1,0.6690140845070423,0.5492957746478874,0.5563380281690141,0.6091549295774648,0.052816901408450634,0.5915492957746479,2.679663394623581,7,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.55,0.0,1443.0,1,1,0.632016632016632,0.46153846153846156,0.683991683991684,0.5467775467775469,0.1372141372141371,0.5925155925155925,2.993331051961554,3,0.68
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,4.5,0.0,513.0,1,1,0.6023391812865497,0.5730994152046783,0.6432748538011696,0.5877192982456141,0.05555555555555547,0.6062378167641326,2.632405667323779,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.633333333333333,0.0,1791.0,1,1,0.6566164154103853,0.507537688442211,0.6867671691792295,0.5820770519262981,0.10469011725293143,0.6169737576772752,2.925793372658911,8,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.228571428571428,0.0,2220.0,1,1,0.6662162162162162,0.41486486486486485,0.7027027027027027,0.5405405405405406,0.16216216216216217,0.5945945945945946,2.822029336451383,4,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,8.133333333333333,0.0,945.0,1,1,0.6444444444444445,0.43492063492063493,0.6571428571428571,0.5396825396825398,0.11746031746031738,0.5788359788359788,2.939923396150712,3,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.8,0.0,1569.0,1,1,0.7055449330783938,0.49904397705544934,0.751434034416826,0.6022944550669216,0.1491395793499044,0.6520076481835564,2.7086053882627374,3,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.3,0.0,633.0,1,1,0.5639810426540285,0.4786729857819905,0.5545023696682464,0.5213270142180095,0.033175355450236865,0.5323854660347551,2.9623409550938655,1,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.8,0.0,510.0,1,1,0.5764705882352941,0.5352941176470588,0.5941176470588235,0.5558823529411765,0.038235294117647034,0.5686274509803921,3.0833382474172195,2,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,987.0,1,1,0.5896656534954408,0.45896656534954405,0.7203647416413373,0.5243161094224924,0.19604863221884494,0.5896656534954408,2.866451088420359,3,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.8,0.0,633.0,1,1,0.6161137440758294,0.5260663507109005,0.6161137440758294,0.5710900473933649,0.04502369668246453,0.5860979462875198,2.9398514080698415,4,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,11.514285714285714,0.0,462.0,1,1,0.6298701298701299,0.564935064935065,0.487012987012987,0.5974025974025974,0.11038961038961037,0.5606060606060606,2.9715471005971112,6,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.8,0.0,513.0,1,1,0.7134502923976608,0.40350877192982454,0.6257309941520468,0.5584795321637427,0.06725146198830412,0.580896686159844,2.325979626735198,2,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,11.3,0.0,510.0,1,1,0.5235294117647059,0.5882352941176471,0.5705882352941176,0.5558823529411765,0.014705882352941124,0.5607843137254902,3.000003052366385,4,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.466666666666667,0.0,762.0,1,1,0.7322834645669292,0.468503937007874,0.6299212598425197,0.6003937007874016,0.029527559055118058,0.610236220472441,2.4911790591095078,3,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.633333333333333,0.0,684.0,1,1,0.6271929824561403,0.4956140350877193,0.5219298245614035,0.5614035087719298,0.03947368421052633,0.5482456140350878,3.2030569095809653,7,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.8,0.0,1479.0,1,1,0.6024340770791075,0.5050709939148073,0.6511156186612576,0.5537525354969574,0.0973630831643002,0.5862068965517241,2.978231425450176,2,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.0,0.0,483.0,1,1,0.6149068322981367,0.5279503105590062,0.4968944099378882,0.5714285714285714,0.0745341614906832,0.546583850931677,2.8931222819522056,4,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.633333333333333,0.0,1980.0,1,1,0.6045454545454545,0.4772727272727273,0.646969696969697,0.5409090909090909,0.10606060606060608,0.5762626262626263,3.0753525980050456,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.3,0.0,456.0,1,1,0.5723684210526315,0.4605263157894737,0.6842105263157895,0.5164473684210527,0.16776315789473684,0.5723684210526315,2.715333018887266,1,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,11.05,0.0,459.0,1,1,0.49019607843137253,0.5228758169934641,0.673202614379085,0.5065359477124183,0.16666666666666674,0.5620915032679739,2.584726831124673,3,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.8,0.0,429.0,1,1,0.6293706293706294,0.4965034965034965,0.6223776223776224,0.5629370629370629,0.05944055944055948,0.5827505827505828,2.8500001132915553,3,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.8,0.0,483.0,1,1,0.5217391304347826,0.5093167701863354,0.5900621118012422,0.515527950310559,0.07453416149068326,0.5403726708074534,3.0462960770099623,7,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.466666666666667,0.0,702.0,1,1,0.7094017094017094,0.43162393162393164,0.7350427350427351,0.5705128205128205,0.1645299145299146,0.6253561253561254,2.69392571241593,4,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.966666666666667,0.0,438.0,1,1,0.589041095890411,0.6575342465753424,0.5068493150684932,0.6232876712328768,0.11643835616438358,0.5844748858447488,2.9642233010383894,9,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,13.3,0.0,1017.0,1,1,0.6342182890855457,0.35988200589970504,0.7581120943952803,0.4970501474926253,0.26106194690265494,0.584070796460177,2.5846936741625943,2,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.4,0.0,669.0,1,1,0.7040358744394619,0.4170403587443946,0.6636771300448431,0.5605381165919283,0.10313901345291476,0.5949177877428998,2.8168458187639507,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.5,0.0,852.0,1,1,0.5915492957746479,0.43661971830985913,0.721830985915493,0.5140845070422535,0.2077464788732395,0.5833333333333334,2.86953552697896,2,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.728571428571428,0.0,462.0,1,1,0.6688311688311688,0.551948051948052,0.5584415584415584,0.6103896103896104,0.051948051948051965,0.5930735930735931,3.075040207470548,1,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.3,0.0,444.0,1,1,0.6351351351351351,0.4391891891891892,0.7027027027027027,0.5371621621621622,0.16554054054054057,0.5923423423423423,2.4851577052267557,4,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,11.05,0.0,498.0,1,1,0.5120481927710844,0.6506024096385542,0.5180722891566265,0.5813253012048193,0.06325301204819278,0.5602409638554217,2.7742092082245713,2,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,1551.0,1,1,0.5918762088974855,0.44680851063829785,0.6634429400386848,0.5193423597678917,0.1441005802707931,0.5673758865248227,2.959204247644839,2,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,15.8,0.0,864.0,1,1,0.6215277777777778,0.4756944444444444,0.71875,0.5486111111111112,0.17013888888888884,0.6053240740740741,2.874848350194335,1,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.228571428571428,0.0,1026.0,1,1,0.6608187134502924,0.42105263157894735,0.6754385964912281,0.5409356725146199,0.13450292397660812,0.5857699805068226,2.844427145605915,4,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.8,0.0,603.0,1,1,0.6119402985074627,0.5024875621890548,0.7014925373134329,0.5572139303482587,0.14427860696517414,0.6053067993366501,2.410904683389936,3,0.32
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.228571428571428,0.0,708.0,1,1,0.7330508474576272,0.461864406779661,0.6991525423728814,0.597457627118644,0.10169491525423735,0.6313559322033898,2.6446443257912042,4,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.05,0.0,921.0,1,1,0.6123778501628665,0.504885993485342,0.6905537459283387,0.5586319218241043,0.13192182410423448,0.6026058631921825,2.7760709439727767,4,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.5,0.0,444.0,1,1,0.46621621621621623,0.722972972972973,0.6959459459459459,0.5945945945945946,0.10135135135135132,0.6283783783783784,2.7193807506719505,3,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,15.8,0.0,903.0,1,1,0.6744186046511628,0.4717607973421927,0.707641196013289,0.5730897009966778,0.13455149501661123,0.6179401993355482,2.664615051122001,7,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,504.0,1,1,0.6488095238095238,0.5654761904761905,0.6369047619047619,0.6071428571428572,0.029761904761904656,0.6170634920634921,2.871154268098307,6,0.28
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.133333333333333,0.0,816.0,1,1,0.6654411764705882,0.5147058823529411,0.7205882352941176,0.5900735294117647,0.13051470588235292,0.633578431372549,2.6037749404472414,2,0.6
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.966666666666667,0.0,795.0,1,1,0.660377358490566,0.4641509433962264,0.6830188679245283,0.5622641509433962,0.12075471698113205,0.6025157232704402,2.932822211686396,4,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,522.0,1,1,0.7011494252873564,0.4367816091954023,0.6954022988505747,0.5689655172413793,0.12643678160919536,0.6111111111111112,2.8565700436348194,2,0.72
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.728571428571428,0.0,507.0,1,1,0.5857988165680473,0.621301775147929,0.5857988165680473,0.6035502958579881,0.017751479289940808,0.5976331360946746,3.0292049196169515,4,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,7.8,0.0,4323.0,1,1,0.6585704371963914,0.5586398334489937,0.7050659264399722,0.6086051353226926,0.09646079111727968,0.6407587323617858,2.818647263189531,5,0.64
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.9,0.0,870.0,1,1,0.5862068965517241,0.4724137931034483,0.7310344827586207,0.5293103448275862,0.2017241379310345,0.596551724137931,2.7308016891631763,1,0.56
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,10.728571428571428,0.0,1326.0,1,1,0.5542986425339367,0.4457013574660634,0.7194570135746606,0.5,0.21945701357466063,0.5731523378582202,2.823875282897707,1,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,7.633333333333333,0.0,456.0,1,1,0.5592105263157895,0.5263157894736842,0.6118421052631579,0.5427631578947368,0.06907894736842102,0.5657894736842105,2.7142309863103082,6,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,13.3,0.0,1830.0,1,1,0.5918032786885246,0.45081967213114754,0.7918032786885246,0.521311475409836,0.2704918032786886,0.6114754098360655,2.4393798207489725,3,0.48
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,12.8,0.0,435.0,1,1,0.5862068965517241,0.5103448275862069,0.6275862068965518,0.5482758620689655,0.07931034482758625,0.5747126436781609,2.9202802069061784,3,0.4
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.8,0.0,489.0,1,1,0.5521472392638037,0.49079754601226994,0.6196319018404908,0.5214723926380368,0.09815950920245398,0.5541922290388548,3.036760091651684,3,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.9,0.0,711.0,1,1,0.6751054852320675,0.5189873417721519,0.6835443037974683,0.5970464135021096,0.0864978902953587,0.6258790436005626,2.874159456778116,2,0.28
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,10.5,0.0,528.0,1,1,0.6931818181818182,0.5113636363636364,0.6136363636363636,0.6022727272727273,0.011363636363636354,0.6060606060606061,2.987069584411031,1,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,3621.0,1,1,0.6255178127589064,0.4896437448218724,0.6835128417564209,0.5575807787903894,0.12593206296603154,0.5995581331123999,3.0102831198414783,1,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,11.3,0.0,1377.0,1,1,0.6056644880174292,0.47276688453159044,0.616557734204793,0.5392156862745099,0.0773420479302831,0.5649963689179376,3.190664655419864,5,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,12.8,0.0,1200.0,1,1,0.5975,0.4875,0.5375,0.5425,0.0050000000000000044,0.5408333333333334,3.262043107189718,2,0.52
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,TP,9.0,0.0,1485.0,1,1,0.5535353535353535,0.43232323232323233,0.6484848484848484,0.49292929292929294,0.1555555555555555,0.5447811447811448,2.9719776233224535,3,0.44
NC_002677.1,M. leprae,Actinobacteria,41.74,0.578,FP,9.5,0.0,633.0,1,1,0.5165876777251185,0.6398104265402843,0.5355450236966824,0.5781990521327014,0.042654028436018954,0.5639810426540285,2.9972670216570134,1,0.68
